=======================================================================
ID     | NOME DO ALUNO                       | CURSO                    
139    | Larissa Assumpção                   | Medicina                 
140    | Ana Cecília Castanho Filho          | Arquitetura              
141    | Esther Bomdia                       | Psicologia               
142    | Ana Laura da Aldeia Neto            | Enfermagem               
143    | Júlio Mendanha                      | Direito                  
144    | Dra. Letícia Gabeira                | Arquitetura              
145    | Júlio da Rosa                       | Enfermagem               
146    | Ryan Carvalheira                    | Administracao            
147    | Isadora Palhares                    | Administracao            
148    | Lara Passarinho Filho               | Psicologia               
149    | Sarah Longuinho                     | Engenharia de Software   
150    | Lorraine Bouças                     | Enfermagem               
151    | Alessandro de Oliveira              | Arquitetura              
152    | Catarina de Sá                      | Sistemas de Informacao   
153    | Alice Monteira                      | Arquitetura              
154    | Isis Meira                          | Sistemas de Informacao   
155    | Isis da Fonseca                     | Administracao            
156    | Janaína Teixeira                    | Agronomia                
157    | Sra. Larissa Cachoeira              | Enfermagem               
158    | Sr. Miguel Freitas                  | Agronomia                
159    | Davi Lucca da Silva                 | Enfermagem               
160    | Carla Pinto                         | Arquitetura              
161    | Frederico da Mota Neto              | Direito                  
162    | Marcos da Aldeia                    | Sistemas de Informacao   
163    | Luiz Felipe Matoso                  | Arquitetura              
164    | Patricia Carneiro                   | Ciencia da Computacao    
165    | Pietra Munhoz                       | Engenharia de Software   
166    | Patricia Espinheira                 | Direito                  
167    | Bryan Godins                        | Psicologia               
168    | Sr. Maria Júlia Alves               | Arquitetura              
169    | Gustavo Álvares                     | Agronomia                
170    | Augusto Rocha                       | Enfermagem               
171    | Maria Luiza Caldeira Filho          | Enfermagem               
172    | Maria Flor Domingues                | Arquitetura              
173    | Heitor Veles                        | Engenharia de Software   
174    | Salvador Carneiro                   | Direito                  
175    | Ana Laura da Maia Neto              | Psicologia               
176    | Dra. Francisco da Fronteira         | Agronomia                
177    | Esther Limeira Neto                 | Sistemas de Informacao   
178    | Giovanna Bentes Neto                | Agronomia                
179    | Dr. Bárbara Geraldes                | Administracao            
180    | Fábio da Rosa                       | Psicologia               
181    | Nicole Esteves                      | Administracao            
182    | Víctor da Paz                       | Sistemas de Informacao   
183    | Vicente Camacho                     | Administracao            
184    | Natália Bernardes                   | Sistemas de Informacao   
185    | Esther Franco Neto                  | Engenharia de Software   
186    | Morgana Geraldes                    | Arquitetura              
187    | Dra. Núbia Esteves                  | Direito                  
188    | Janaína Velasques Jr.               | Engenharia de Software   
189    | Elísio Pereira                      | Direito                  
190    | Fabrícia Hernandes                  | Medicina                 
191    | Lucca da Costa                      | Arquitetura              
192    | Louise Menendes Neto                | Engenharia de Software   
193    | Pietro da Silveira                  | Enfermagem               
194    | Gúbio Camacho                       | Sistemas de Informacao   
195    | Thomas da Fonseca Neto              | Agronomia                
196    | Dra. Gúbio da Luz                   | Medicina                 
197    | Kauê Parreira                       | Ciencia da Computacao    
198    | Eloah Lima                          | Medicina                 
199    | Lucas Gabriel Grotas Filho          | Engenharia de Software   
200    | Patricia Garcez                     | Agronomia                
201    | Alexandre Ramalho                   | Engenharia de Software   
202    | Dalila Assumpção                    | Arquitetura              
203    | Antonella Espinheira                | Ciencia da Computacao    
204    | Miguel Amoreira                     | Agronomia                
205    | Lorenzo Moura                       | Ciencia da Computacao    
206    | Aurora Nogueira                     | Arquitetura              
207    | Srta. Luiz Pereira                  | Medicina                 
208    | Ian Ouriques Filho                  | Engenharia de Software   
209    | Ian da Costa                        | Direito                  
210    | Ana Júlia Bernardes                 | Psicologia               
211    | Srta. Lorena Hernandes              | Sistemas de Informacao   
212    | Maria Sophia Mendanha Jr.           | Sistemas de Informacao   
213    | Roberto Araújo                      | Engenharia de Software   
214    | Marli Santos                        | Administracao            
215    | Félix Madeira Filho                 | Engenharia de Software   
216    | Dr. Marina da Maia                  | Administracao            
217    | Dr. Sara Dantas                     | Psicologia               
218    | Dr. Dalila Fernandes                | Direito                  
219    | Carlos Eduardo Sais Filho           | Ciencia da Computacao    
220    | Bryan da Costa                      | Enfermagem               
221    | Maria Helena Vasques                | Direito                  
222    | Ana Júlia Macedo                    | Enfermagem               
223    | Dr. Luiz Caseira                    | Enfermagem               
224    | Sr. Vicente Casqueira               | Enfermagem               
225    | Fernanda Castro                     | Direito                  
226    | César Ribeira Neto                  | Psicologia               
227    | Natália Alves Neto                  | Medicina                 
228    | Dra. Júlia Barros                   | Direito                  
229    | Sarah Coqueiro                      | Psicologia               
230    | Hélio Moreira                       | Enfermagem               
231    | Sr. Ana Laura Laranjeira            | Direito                  
232    | Letícia Aparício                    | Administracao            
233    | Dra. Feliciano Ordonhes             | Direito                  
234    | Márcia Assumpção                    | Administracao            
235    | Júlia da Barra                      | Direito                  
236    | Félix Carneiro                      | Sistemas de Informacao   
237    | Sr. Ofélia Ribeiro                  | Agronomia                
238    | Bárbara Dias                        | Sistemas de Informacao   
239    | Enrico Grotas                       | Enfermagem               
240    | Miguel de Quadros Jr.               | Sistemas de Informacao   
241    | Natália Laranjeira                  | Sistemas de Informacao   
242    | Márcio Goulart                      | Engenharia de Software   
243    | Heitor Coutinho                     | Administracao            
244    | Maria Isis Godinho                  | Medicina                 
245    | Dr. André Antena                    | Direito                  
246    | Enzo Gabriel Guedes                 | Administracao            
247    | Dr. Liz Fontes                      | Administracao            
248    | Víctor Rodrigues                    | Sistemas de Informacao   
249    | Ana Luiza Regueira Jr.              | Arquitetura              
250    | Srta. André Beltrão                 | Medicina                 
251    | Mariana Bernardes                   | Administracao            
252    | Srta. Alice Nascimento              | Psicologia               
253    | Adriana Bomdia                      | Sistemas de Informacao   
254    | Sra. Calebe Camacho                 | Medicina                 
255    | Agatha Ordonhes Jr.                 | Administracao            
256    | Isabella Martim                     | Arquitetura              
257    | Srta. Tomás Garcês                  | Engenharia de Software   
258    | Lorenzo Cachoeira                   | Medicina                 
259    | Nicole Coqueiro Filho               | Administracao            
260    | Augusto Meira                       | Agronomia                
261    | Maya Gabeira Neto                   | Enfermagem               
262    | Maria Isis Veloso                   | Direito                  
263    | Thomas Jaques                       | Sistemas de Informacao   
264    | Giovanna Gomes                      | Engenharia de Software   
265    | Ryan Munhoz Jr.                     | Medicina                 
266    | Ana Clara Veles Filho               | Administracao            
267    | Carolina Porteira                   | Psicologia               
268    | Washington de Lins                  | Arquitetura              
269    | Henry Neves                         | Psicologia               
270    | Víctor Siqueira Filho               | Psicologia               
271    | Talita Moraes                       | Medicina                 
272    | Fernando Gomide                     | Administracao            
273    | Bianca Almeida                      | Arquitetura              
274    | Luiz Gustavo Barata                 | Engenharia de Software   
275    | Letícia Domingues Filho             | Psicologia               
276    | João Lucas Veloso                   | Enfermagem               
277    | Luna Palhares                       | Ciencia da Computacao    
278    | Norberto Carneiro                   | Administracao            
279    | Francisca da Costa                  | Ciencia da Computacao    
280    | Emanuel de Borba                    | Ciencia da Computacao    
281    | Janaína Antena                      | Sistemas de Informacao   
282    | Allana Sanches                      | Medicina                 
283    | Júlio Casqueira Neto                | Psicologia               
284    | Vinícius Mangueira                  | Engenharia de Software   
285    | Larissa Arriaga                     | Administracao            
286    | Henrique Pinheira Jr.               | Medicina                 
287    | Núbia Marins                        | Medicina                 
288    | Sr. Frederico Marques               | Enfermagem               
289    | Augusto Arriaga                     | Psicologia               
290    | Meire Palhares                      | Medicina                 
291    | Dra. Maria Laura Coqueiro           | Agronomia                
292    | Breno Carvalho                      | Medicina                 
293    | Sophia Modesto                      | Psicologia               
294    | Maria Flor Aguiar                   | Arquitetura              
295    | Lucas Gabriel Domingues             | Enfermagem               
296    | Vicente Carvalheira                 | Administracao            
297    | Marcela do Prado                    | Engenharia de Software   
298    | Vitor Hugo Mangueira                | Engenharia de Software   
299    | Rebeca Soeira                       | Enfermagem               
300    | Lavínia da Cunha                    | Enfermagem               
301    | Felipe Porteira                     | Arquitetura              
302    | Emanuelly Garcez                    | Administracao            
303    | Sílvia Diegues                      | Agronomia                
304    | Maria Sophia Geraldes Filho         | Arquitetura              
305    | Benício Reis Filho                  | Psicologia               
306    | Caio Tavares Neto                   | Engenharia de Software   
307    | Ana Bouças                          | Arquitetura              
308    | Luiz Henrique Porteira              | Direito                  
309    | Dra. João Pedro Ramires             | Administracao            
310    | João Felipe Viveiros                | Agronomia                
311    | Mariah Siqueira                     | Sistemas de Informacao   
312    | Maria Júlia Castro Neto             | Psicologia               
313    | Davi Luiz Siqueira                  | Administracao            
314    | Tiago Casqueira                     | Medicina                 
315    | Cecília Resende                     | Psicologia               
316    | Matheus da Costa                    | Agronomia                
317    | Matheus Paes                        | Engenharia de Software   
318    | Dra. Bárbara Marcondes              | Medicina                 
319    | João Felipe Diegues                 | Psicologia               
320    | Célia Novaes Jr.                    | Sistemas de Informacao   
321    | Pedro Lucas Ximenes                 | Agronomia                
322    | Alessandra Bomdia                   | Psicologia               
323    | Sra. Rafaela Roseira                | Direito                  
324    | Pérola Peres                        | Medicina                 
325    | Anthony Silveira Neto               | Ciencia da Computacao    
326    | Pedro Henrique Albuquerque          | Enfermagem               
327    | Mirella dos Reis                    | Sistemas de Informacao   
328    | Djalma Mangueira                    | Sistemas de Informacao   
329    | Cecília Pereira                     | Psicologia               
330    | Rafael Datena                       | Arquitetura              
331    | Elísio Geraldes                     | Ciencia da Computacao    
332    | Enrico Moreira                      | Medicina                 
333    | Enzo Thiago Hernandes Filho         | Enfermagem               
334    | Beatriz Figueira                    | Ciencia da Computacao    
335    | Dra. João Guilherme Fogaça          | Sistemas de Informacao   
336    | Erick Bulhões                       | Medicina                 
337    | Gúbio Barros                        | Administracao            
338    | Francisco Roriz Filho               | Arquitetura              
339    | Ladislau Corrêa                     | Ciencia da Computacao    
340    | Yago Pereira                        | Psicologia               
341    | Luna Bentes                         | Engenharia de Software   
342    | Sra. Maitê Vidal                    | Administracao            
343    | Lorraine Lopes Filho                | Administracao            
344    | Davi Miguel Moura Neto              | Enfermagem               
345    | Antonella Cerqueira                 | Agronomia                
346    | Ian Campos                          | Engenharia de Software   
347    | Srta. Enzo Monteiro                 | Arquitetura              
348    | Dra. Miguel Assumpção               | Sistemas de Informacao   
349    | Dr. Marcia Sales                    | Psicologia               
350    | João Guilherme Veles                | Engenharia de Software   
351    | Raul Laranjeira                     | Arquitetura              
352    | Mathias Pinto                       | Sistemas de Informacao   
353    | Dr. Fernando Sá                     | Psicologia               
354    | Srta. Nataniel Silva                | Arquitetura              
355    | Milena Meira Neto                   | Ciencia da Computacao    
356    | Karla Ouriques                      | Engenharia de Software   
357    | Maria Helena Geraldes               | Arquitetura              
358    | Arthur Neves                        | Arquitetura              
359    | Anthony da Rocha Neto               | Arquitetura              
360    | Eloah da Paz                        | Psicologia               
361    | Dalila da Silva                     | Engenharia de Software   
362    | Otávio Barbosa                      | Arquitetura              
363    | Maria Isis Nogueira                 | Engenharia de Software   
364    | Arthur Henrique Limeira             | Direito                  
365    | Isis das Neves                      | Agronomia                
366    | Maria Júlia da Penha                | Engenharia de Software   
367    | André Oliveira                      | Agronomia                
368    | Ana Sophia de Lara                  | Direito                  
369    | Sra. Cecília Jesus                  | Engenharia de Software   
370    | João da Silveira                    | Medicina                 
371    | Sr. Ana Menendes                    | Engenharia de Software   
372    | Sr. Fernando Castanheira            | Ciencia da Computacao    
373    | Danilo Duarte                       | Direito                  
374    | Enzo Thiago Albuquerque             | Engenharia de Software   
375    | Lucas Gabriel Sanches               | Medicina                 
376    | Luiz Gustavo Jesus                  | Agronomia                
377    | Júlio Galvão                        | Enfermagem               
378    | Maria Sophia Brites                 | Direito                  
379    | Sophie Resende                      | Agronomia                
380    | Ricardo Franco Filho                | Ciencia da Computacao    
381    | Isis Barata                         | Ciencia da Computacao    
382    | Heloísa Vidal                       | Enfermagem               
383    | Ayla Espinheira                     | Enfermagem               
384    | Gúbio de Borba                      | Ciencia da Computacao    
385    | Davi Monteira                       | Engenharia de Software   
386    | Luiz Gustavo Godinho                | Arquitetura              
387    | Morgana Geraldes                    | Direito                  
388    | Noah Campos                         | Administracao            
389    | Maria Fernanda Reis                 | Agronomia                
390    | Amanda Meireles                     | Direito                  
391    | Laís Menendes                       | Direito                  
392    | Lucas Gabriel Aguiar                | Agronomia                
393    | Sra. Stella Carvalho                | Psicologia               
394    | Pietro Filgueira                    | Enfermagem               
395    | Liz Soeira                          | Direito                  
396    | Kaique Crespo                       | Enfermagem               
397    | Luiza Nascimento Neto               | Arquitetura              
398    | Talita Cruz                         | Psicologia               
399    | Sra. Marcos Fontes                  | Ciencia da Computacao    
400    | Karla Bittencourt                   | Administracao            
401    | Erick Marins                        | Enfermagem               
402    | Ana Aroeira                         | Psicologia               
403    | Amanda Dias                         | Engenharia de Software   
404    | Joaquim Amoreira                    | Ciencia da Computacao    
405    | Pedro Tobias Mendes                 | Administracao            
406    | Dra. Frederico Nogueira             | Psicologia               
407    | Caio Barbosa                        | Direito                  
408    | Ladislau da Veiga                   | Engenharia de Software   
409    | Maria Fernanda Carvalho             | Arquitetura              
410    | Félix Castro                        | Agronomia                
411    | Dr. Bryan Arantes                   | Ciencia da Computacao    
412    | Maria Vitória Custódio              | Enfermagem               
413    | Larissa Laranjeira                  | Sistemas de Informacao   
414    | Vicente Dorneles                    | Agronomia                
415    | Sra. Lorraine do Prado              | Engenharia de Software   
416    | Allana Bernardes Filho              | Agronomia                
417    | Sra. Lavínia da Penha               | Arquitetura              
418    | Feliciano Banheira Neto             | Direito                  
419    | Cauã Álvares Neto                   | Ciencia da Computacao    
420    | Nataniel Carneiro                   | Medicina                 
421    | Sr. Dalila Campos                   | Arquitetura              
422    | Nicolas Matoso                      | Sistemas de Informacao   
423    | Feliciano da Paz Neto               | Administracao            
424    | Vinicius Quarteira                  | Sistemas de Informacao   
425    | Emanuelly Pereira                   | Administracao            
426    | Júlia Carvalho                      | Agronomia                
427    | Karla Pinheira                      | Direito                  
428    | Joana Casqueira                     | Sistemas de Informacao   
429    | Yago Ferraço                        | Agronomia                
430    | Dra. Fernando Crespo                | Administracao            
431    | Sra. Yango Rios                     | Agronomia                
432    | Sophie Rameira                      | Enfermagem               
433    | Calebe de Quadros                   | Enfermagem               
434    | João Moreira                        | Agronomia                
435    | Dr. Ayla Pires                      | Sistemas de Informacao   
436    | Dr. Eduarda da Nóbrega              | Psicologia               
437    | Ryan Martim                         | Agronomia                
438    | André Ordonhes                      | Direito                  
439    | Talita Garcez                       | Engenharia de Software   
440    | Sophie Morais                       | Agronomia                
441    | Isaac Silva                         | Arquitetura              
442    | Felipe Barbosa                      | Sistemas de Informacao   
443    | Bernardo Limeira                    | Psicologia               
444    | Fernanda Sales                      | Sistemas de Informacao   
445    | Davi Lucas Quaresma                 | Agronomia                
446    | Kauê Freitas                        | Medicina                 
447    | Davi Ludmer da Barra                | Enfermagem               
448    | Srta. Luana Cardoso                 | Enfermagem               
449    | Maria Flor Matoso Filho             | Sistemas de Informacao   
450    | Kléber de Quadros                   | Sistemas de Informacao   
451    | Núbia Guedes Filho                  | Enfermagem               
452    | Ana Sophia Marques                  | Direito                  
453    | Rodrigo Bittencourt                 | Enfermagem               
454    | Letícia Martins                     | Engenharia de Software   
455    | Sr. Davi Lucca Espinheira           | Direito                  
456    | Luna Rebouças                       | Arquitetura              
457    | Larissa Farias                      | Engenharia de Software   
458    | João Vitor Galvão                   | Ciencia da Computacao    
459    | Nicolas Videira Filho               | Administracao            
460    | Alice da Costa Neto                 | Enfermagem               
461    | Larissa Fogaça                      | Engenharia de Software   
462    | Maria Valentina Ramos               | Ciencia da Computacao    
463    | Lorraine Tavares                    | Psicologia               
464    | Maria Luiza Aparício                | Sistemas de Informacao   
465    | Aurora Rezende                      | Ciencia da Computacao    
466    | Ayla da Nóbrega Jr.                 | Direito                  
467    | Louise Amoreira                     | Enfermagem               
468    | Ígor Cavalcanti                     | Direito                  
469    | Sara Caldeira                       | Administracao            
470    | Dr. Fernando Palmeira               | Enfermagem               
471    | Bárbara da Cunha                    | Enfermagem               
472    | Letícia Xavier                      | Administracao            
473    | Fabiano Pires                       | Direito                  
474    | João Simões                         | Sistemas de Informacao   
475    | Heloísa Viveiros                    | Ciencia da Computacao    
476    | Vitória Reis Filho                  | Arquitetura              
477    | Juliana Moreno Neto                 | Agronomia                
478    | Oliver Fogaça                       | Engenharia de Software   
479    | Maria Sophia Meireles               | Direito                  
480    | Lara Gabeira                        | Enfermagem               
481    | Silas Taveira                       | Arquitetura              
482    | Silas Albuquerque                   | Ciencia da Computacao    
483    | Davi Luiz Parreira                  | Administracao            
484    | João Lucas de Lins                  | Arquitetura              
485    | Isabel Peixoto                      | Arquitetura              
486    | Alícia Longuinho                    | Sistemas de Informacao   
487    | Luna Siqueira                       | Engenharia de Software   
488    | Ana Lívia Araújo                    | Sistemas de Informacao   
489    | Márcio Monteiro                     | Psicologia               
490    | Rafaela Crespo                      | Ciencia da Computacao    
491    | Pablo da Veiga                      | Medicina                 
492    | Srta. Sirineu Camacho               | Psicologia               
493    | Beatriz Leiria                      | Engenharia de Software   
494    | Nicole Cavalcanti                   | Engenharia de Software   
495    | Núbia Cavalcanti                    | Sistemas de Informacao   
496    | Valentina Taveira Filho             | Medicina                 
497    | Dra. Eloah Lessa                    | Engenharia de Software   
498    | Maria Luiza Assumpção Jr.           | Ciencia da Computacao    
499    | Sr. Oliver Gonçalves                | Arquitetura              
500    | Sra. Mirella Palmeira               | Medicina                 
501    | Ana Cecília Tavares                 | Direito                  
502    | André Coutinho Neto                 | Medicina                 
503    | Luiza da Madureira                  | Agronomia                
504    | Lucas Gabriel Cerqueira             | Direito                  
505    | Paula Nunes                         | Enfermagem               
506    | Sr. Roberta Peixoto                 | Psicologia               
507    | Ana de Quadros                      | Medicina                 
508    | Kauê Munhoz                         | Medicina                 
509    | Margarida Espinheira                | Arquitetura              
510    | Marcelo Souza                       | Enfermagem               
511    | Alice da Cruz                       | Direito                  
512    | Dr. Pérola Ornelas                  | Enfermagem               
513    | Vitor Espinhosa                     | Sistemas de Informacao   
514    | Sr. Benício Franco                  | Medicina                 
515    | Sra. Joana Rodrigues                | Administracao            
516    | Pérola Meira                        | Medicina                 
517    | Vinicius Resende Jr.                | Administracao            
518    | Otávio da Penha Jr.                 | Agronomia                
519    | Juliana Lobos Filho                 | Engenharia de Software   
520    | Ricardo Ambrósio Filho              | Sistemas de Informacao   
521    | Maria Helena Barata                 | Sistemas de Informacao   
522    | Bianca Vimaranes                    | Ciencia da Computacao    
523    | Srta. Ana Beatriz Antena            | Engenharia de Software   
524    | Maria Fernanda do Prado Filho       | Enfermagem               
525    | Raul Gentil                         | Enfermagem               
526    | Ladislau Domingues                  | Sistemas de Informacao   
527    | Félix Alves                         | Medicina                 
528    | Clarice Bomdia                      | Agronomia                
529    | Luiz Henrique de Oliveira           | Administracao            
530    | Luana Aparício                      | Ciencia da Computacao    
531    | Enrico Rolim Filho                  | Agronomia                
532    | Gúbio Barreira                      | Enfermagem               
533    | Gabriel de Lins Neto                | Psicologia               
534    | Lorena Costa                        | Psicologia               
535    | Patricia Veles                      | Engenharia de Software   
536    | Márcio Siqueiro                     | Administracao            
537    | Silas Rios                          | Psicologia               
538    | Srta. Nataniel da Veiga             | Sistemas de Informacao   
539    | Daniel Ramos                        | Sistemas de Informacao   
540    | Felícia Fernandes                   | Sistemas de Informacao   
541    | Dra. Ayla da Luz                    | Arquitetura              
542    | Márcio Arantes                      | Engenharia de Software   
543    | Márcia Martins                      | Medicina                 
544    | Benício Moreira                     | Administracao            
545    | Malu Ramalho                        | Agronomia                
546    | Nathan da Terra                     | Arquitetura              
547    | Leonardo Geraldes Jr.               | Administracao            
548    | Otávio Moreno Jr.                   | Medicina                 
549    | Patricia Pires                      | Agronomia                
550    | Camila Macedo                       | Medicina                 
551    | Francisca Santana                   | Medicina                 
552    | Bento da Silveira                   | Psicologia               
553    | Maria Luiza Jesus                   | Psicologia               
554    | Fábio Aguiar                        | Direito                  
555    | Benício Conceição Filho             | Psicologia               
556    | Frederico Barros                    | Enfermagem               
557    | Ana Grotas                          | Medicina                 
558    | Luiz Henrique Viveiros              | Enfermagem               
559    | Manuela Álvares                     | Arquitetura              
560    | Luiz Otávio Sá                      | Sistemas de Informacao   
561    | Enzo Gabriel Custódio               | Administracao            
562    | Fábio Duarte Jr.                    | Ciencia da Computacao    
563    | Dra. Víctor Barros                  | Agronomia                
564    | Maria Helena Castanho Jr.           | Ciencia da Computacao    
565    | Paula Beltrão                       | Direito                  
566    | Marina Lobos                        | Ciencia da Computacao    
567    | Mércia Oliveira                     | Administracao            
568    | Davi Lucas Leiria                   | Enfermagem               
569    | Bianca Braga Filho                  | Engenharia de Software   
570    | Dra. Maria Luiza Silveira           | Administracao            
571    | Alessandro Custódio                 | Ciencia da Computacao    
572    | Mirella Bittencourt                 | Sistemas de Informacao   
573    | Carla de Lins                       | Psicologia               
574    | Roberto Rios                        | Agronomia                
575    | Karla Veles                         | Engenharia de Software   
576    | Vicente Fontes                      | Sistemas de Informacao   
577    | Davi Cerqueira                      | Direito                  
578    | Dra. Bruno Resende                  | Agronomia                
579    | Antônio Limeira                     | Arquitetura              
580    | João Ramires                        | Agronomia                
581    | Sra. Maria Isis Aragão              | Psicologia               
